coarse_category,all_machine_count_0,all_machine_count_1,all_person_count_0,all_person_count_1,log_hrs_per_machine_0,log_hrs_per_machine_1,log_hrs_per_person_0,log_hrs_per_person_1,all_machine_count_difference,all_person_count_difference,log_hrs_per_machine_difference,log_hrs_per_person_difference
CHATURBATE.COM,2462.5701394585726,2151.8645343367825,2692.513535684988,2363.194418312951,-4.494074568793718,-5.125089769701333,-4.5794498295114305,-5.212605572070079,-310.7056051217901,-329.319117372037,-0.6310152009076146,-0.6331557425586487
PORNHUB.COM,2462.5701394585726,2152.554719347758,2692.513535684988,2363.9297585449985,-4.066921816453491,-4.064042511953095,-4.1522970771712036,-4.151369294688476,-310.01542011081483,-328.58377713998925,0.002879304500396529,0.0009277824827274017
XHAMSTER.COM,2462.5701394585726,2151.6908121668234,2692.513535684988,2362.9896519285044,-5.0427525015286765,-5.791298127227651,-5.128127762246389,-5.878889894424583,-310.8793272917492,-329.52388375648343,-0.7485456256989744,-0.7507621321781945
XNXX.COM,2462.283839212469,2151.6741925368456,2692.2157506152585,2362.96801505174,-4.519117372902411,-5.269743627559827,-4.604569537824354,-5.357091672751832,-310.6096466756235,-329.2477355635183,-0.7506262546574165,-0.752522134927478
XVIDEOS.COM,2462.5701394585726,2151.7698338037003,2692.513535684988,2363.0950141110065,-4.094368867874593,-4.805643939366895,-4.179744128592305,-4.89325737836652,-310.8003056548723,-329.41852157398125,-0.7112750714923024,-0.7135132497742145
all_other_sites,2462.5701394585726,2152.5653809971777,2692.513535684988,2363.940106616494,0.6086569231043824,0.5802935424488177,0.5232816623866706,0.4930035046948991,-310.0047584613949,-328.5734290684936,-0.02836338065556465,-0.0302781576917715
other_XXX_sites,2462.5701394585726,2152.5653809971777,2692.513535684988,2363.940106616494,-2.743441988597464,-2.9992078840450573,-2.828817249315176,-3.0864979217989763,-310.0047584613949,-328.5734290684936,-0.2557658954475932,-0.25768067248380033
