platform,total_sessions,total_machines,xxx_sessions,xxx_machines,xxx_session_share,xxx_machine_share,xxx_sessions_per_xxx_machine
mobile,31015131,24697,350035,11283,0.011285942980540692,0.45685710815078756,31.02322077461668
desktop,36407523,274994,1102648,42113,0.03028626803312052,0.15314152308777645,26.18307885925961
