BRAND_ID,BRAND_NAME,STATE_ABBR,spend,trans
18937,NORDVPN,ID,2869.29,70.32000000000001
18937,NORDVPN,IL,2930.86,78.33
18937,NORDVPN,IN,2246.83,51.13
18937,NORDVPN,KS,1806.0,59.699999999999996
18937,NORDVPN,KY,52.07,4.14
18937,NORDVPN,LA,2844.7599999999998,51.67
18937,NORDVPN,MA,656.17,39.49
18937,NORDVPN,MD,3481.42,88.59
18937,NORDVPN,ME,195.41,2.07
18937,NORDVPN,MI,2517.21,57.11
18937,NORDVPN,MN,5713.97,141.71
18937,NORDVPN,MO,380.21,16.56
18937,NORDVPN,MS,3413.51,90.37
18937,NORDVPN,MT,1588.5,36.96
18937,NORDVPN,NC,9718.57,225.58
18937,NORDVPN,ND,73.68,5.85
18937,NORDVPN,NE,2113.86,50.93
18937,NORDVPN,NH,558.7,7.03
18937,NORDVPN,NJ,5217.780000000001,128.99
18937,NORDVPN,NM,1822.6,56.38
18937,NORDVPN,NV,1826.96,64.82
18937,NORDVPN,NY,7363.74,240.37
18937,NORDVPN,OH,1282.68,28.77
18937,NORDVPN,OK,1725.53,48.86
18937,NORDVPN,OR,6535.24,160.29000000000002
18937,NORDVPN,PA,8925.630000000001,225.95999999999998
18937,NORDVPN,RI,346.64,14.280000000000001
18937,NORDVPN,SC,1000.09,50.370000000000005
18937,NORDVPN,SD,695.79,24.02
18937,NORDVPN,TN,3409.8500000000004,75.97999999999999
18937,NORDVPN,TX,23316.69,618.42
18937,NORDVPN,UT,3494.1200000000003,70.88
18937,NORDVPN,VA,5565.88,143.93
18937,NORDVPN,WA,7901.82,239.28
18937,NORDVPN,WI,5632.65,113.89
18937,NORDVPN,WV,368.19,16.56
18937,NORDVPN,WY,1152.5100000000002,22.14
21761,PROTONVPN,AL,228.18,15.21
21761,PROTONVPN,AR,81.25999999999999,14.290000000000001
21761,PROTONVPN,AZ,476.69000000000005,29.91
21761,PROTONVPN,CA,2472.06,137.83
21761,PROTONVPN,CO,36.42,6.1
21761,PROTONVPN,CT,77.53999999999999,12.76
21761,PROTONVPN,DC,74.41,8.49
21761,PROTONVPN,FL,1205.19,46.85
21761,PROTONVPN,GA,1025.53,17.520000000000003
21761,PROTONVPN,ID,54.150000000000006,3.1900000000000004
21761,PROTONVPN,IL,101.69,26.51
21761,PROTONVPN,KS,21.0,2.07
21761,PROTONVPN,LA,20.84,2.07
21761,PROTONVPN,MD,88.97,13.059999999999999
21761,PROTONVPN,MI,179.82999999999998,24.11
21761,PROTONVPN,MN,1134.91,26.52
21761,PROTONVPN,MO,1529.75,20.78
21761,PROTONVPN,MT,33.96,6.07
21761,PROTONVPN,NC,227.57,13.129999999999999
21761,PROTONVPN,ND,11.24,1.17
21761,PROTONVPN,NE,79.53,10.09
21761,PROTONVPN,NH,583.48,5.16
21761,PROTONVPN,NJ,41.290000000000006,5.76
21761,PROTONVPN,NM,601.79,8.24
21761,PROTONVPN,NV,497.37,13.83
21761,PROTONVPN,NY,316.26,36.85
21761,PROTONVPN,OH,95.84,16.33
21761,PROTONVPN,OR,3051.34,52.379999999999995
21761,PROTONVPN,PA,1624.18,27.880000000000003
21761,PROTONVPN,SC,148.25,6.1
21761,PROTONVPN,SD,6.52,0.66
21761,PROTONVPN,TN,19.47,2.07
21761,PROTONVPN,TX,1915.7299999999998,72.87
21761,PROTONVPN,UT,71.25,7.54
21761,PROTONVPN,VA,239.7,27.919999999999998
21761,PROTONVPN,VT,79.45,14.27
21761,PROTONVPN,WA,2233.67,31.46
21761,PROTONVPN,WI,94.61,9.76
20485,PUREVPN,AK,31.56,0.64
20485,PUREVPN,AL,9.47,0.86
20485,PUREVPN,AZ,12.61,1.56
20485,PUREVPN,CA,1554.53,34.4
20485,PUREVPN,CO,74.72,6.84
20485,PUREVPN,CT,36.02,3.33
20485,PUREVPN,DC,154.22,14.83
20485,PUREVPN,FL,824.91,18.83
20485,PUREVPN,GA,33.72,1.2
20485,PUREVPN,IA,12.89,1.23
20485,PUREVPN,ID,9.48,0.8
20485,PUREVPN,IN,22.37,2.07
20485,PUREVPN,MN,312.52,7.66
20485,PUREVPN,MS,78.95,2.07
20485,PUREVPN,MT,44.78,0.91
20485,PUREVPN,NC,46.96,1.9300000000000002
20485,PUREVPN,NJ,110.7,5.75
20485,PUREVPN,NV,199.15,3.05
20485,PUREVPN,NY,997.3800000000001,14.26
