time_id,date,threshold,num_persons,share_of_all
8061,2022-01-26,2,24273,8.515587176626603
8061,2022-01-26,3,18820,6.602535766658948
8061,2022-01-26,4,15502,5.438496782930235
8061,2022-01-26,5,13093,4.593358171778194
8062,2022-01-27,1,37311,13.0896499463237
8062,2022-01-27,2,24715,8.670652044260144
8062,2022-01-27,3,19194,6.733744500810407
8062,2022-01-27,4,15886,5.573213772005529
8062,2022-01-27,5,13449,4.718252047066748
8063,2022-01-28,1,37791,13.258046182667819
8063,2022-01-28,2,25107,8.808175637274507
8063,2022-01-28,3,19539,6.854779295682742
8063,2022-01-28,4,16202,5.68407462759874
8063,2022-01-28,5,13787,4.836831063492398
8064,2022-01-29,1,38246,13.417671781702346
8064,2022-01-29,2,25463,8.93306951256306
8064,2022-01-29,3,19884,6.975814090555075
8064,2022-01-29,4,16488,5.784410718420443
8064,2022-01-29,5,14081,4.93997375825317
8065,2022-01-30,1,38801,13.612379929975232
8065,2022-01-30,2,25856,9.070943931069806
8065,2022-01-30,3,20200,7.086674946148287
8065,2022-01-30,4,16802,5.894569923028887
8065,2022-01-30,5,14388,5.047677184414928
8066,2022-01-31,1,39278,13.7797236898422
8066,2022-01-31,2,26198,9.19092624946499
8066,2022-01-31,3,20494,7.189817640909059
8066,2022-01-31,4,17088,5.99490601385059
8066,2022-01-31,5,14653,5.140645939896577
8067,2022-02-01,1,39727,13.937244335922424
8067,2022-02-01,2,26526,9.305997010966804
8067,2022-02-01,3,20802,7.297871892563201
8067,2022-02-01,4,17371,6.094189628195143
8067,2022-02-01,5,14949,5.244490285642116
