"state","beta_lt","se_lt","beta_pre","se_pre","law_date","ci_lo","ci_hi","label"
"LA",0.946316110049885,0.0961452023372454,-0.587927163203307,0.0723811186909423,2023-01-01,0.757871513468884,1.13476070663089,"LA (Jan'23)"
"UT",0.784345727476427,0.0861136678177276,-0.167210295210895,0.104302165846507,2023-05-01,0.615562938553681,0.953128516399173,"UT (May'23)"
"MS",2.91633797252273,0.0676328245950282,0.032537218092969,0.0588643939778086,2023-06-29,2.78377763631648,3.04889830872899,"MS (Jun'23)"
"VA",-0.0880973064032429,0.06804319976387,-0.452653209889672,0.0582472322347092,2023-06-29,-0.221461977940428,0.0452673651339422,"VA (Jun'23)"
"AR",0.447685280634775,0.141001944174002,0.43735871285191,0.122502146926488,2023-07-28,0.171321470053732,0.724049091215819,"AR (Jul'23)"
"MT",-1.1072021994149,0.0951934613148208,1.24863751588114,0.0931475381410477,2023-12-28,-1.29378138359195,-0.92062301523785,"MT (Dec'23)"
"NC",0.364569005080224,0.0951195055311292,0.352533336281372,0.0928574387576177,2023-12-28,0.17813477423921,0.551003235921237,"NC (Dec'23)"
"TX",1.04672851294893,0.0862613495577446,0.340983934705846,0.0684141714092539,2024-03-14,0.877656267815752,1.21580075808211,"TX (Mar'24)"
"ID",-0.319489017634727,0.110239919217819,-0.259629997885458,0.090803589387142,2024-06-28,-0.535559259301653,-0.103418775967801,"ID (Jun'24)"
"IN",0.357415540921815,0.112645446661101,-0.0961860468042473,0.0921016907233584,2024-06-28,0.136630465466057,0.578200616377574,"IN (Jun'24)"
"KS",0.851274545486726,0.111652161166838,0.790404107828211,0.0924758221273662,2024-06-28,0.632436309599724,1.07011278137373,"KS (Jun'24)"
"KY",0.527534611865013,0.0677351541306657,-0.704026983702455,0.0653800923413587,2024-07-10,0.394773709768908,0.660295513961118,"KY (Jul'24)"
"NE",1.14996403840663,0.0796211903635139,0.423521918430428,0.0702891158125078,2024-07-15,0.993906505294145,1.30602157151912,"NE (Jul'24)"
"AL",-0.697053979504981,0.0753540241100039,0.259051175251857,0.0652427562172406,2024-09-26,-0.844747866760589,-0.549360092249374,"AL (Sep'24)"
"OK",0.617678653955797,0.0965004152013495,-0.469760366804846,0.107459513832073,2024-11-01,0.428537840161152,0.806819467750442,"OK (Nov'24)"
