"rel_week","beta","se","ci_lo","ci_hi"
-16,-0.00470522592484365,0.00712283977410058,-0.0190345312712076,0.00962407942152026
-15,0.00208742914886838,0.00630489878746811,-0.0105963911768469,0.0147712494745836
-14,0.000504074715845182,0.00387713787762863,-0.00729572062989657,0.00830387006158693
-13,0.00155244226361018,0.00494457252341106,-0.00839475460481087,0.0114996391320312
-12,-0.00256770304710639,0.00312297888997682,-0.00885032620359557,0.00371492010938279
-11,0.00942195279155486,0.0043235078527543,0.000724176882740252,0.0181197287003695
-10,0.00994522770312058,0.00529624664195376,-0.000709446237203036,0.0205999016434442
-9,-0.000436887011063536,0.00391112206686758,-0.00830504972712353,0.00743127570499646
-8,0.00858454167618246,0.00485365412863842,-0.0011797509740312,0.0183488343263961
-7,0.0043920834999347,0.00404756155729107,-0.0037505600666829,0.0125347270665523
-6,-0.000332702376366303,0.00391312476488241,-0.00820489400115952,0.00753948924842691
-5,0.00266159405082698,0.00393696539107573,-0.00525855872755201,0.010581746829206
-4,0.00537781068009605,0.00602972789380995,-0.00675243721064788,0.01750805857084
-3,-3.85870773537134e-05,0.00459374249890853,-0.00928000497205021,0.00920283081734278
-2,0.00364325737342901,0.00429132790408849,-0.00498978082892485,0.0122762955757829
-1,0,NA,0,0
0,0.00116477018762161,0.00474668014497253,-0.00838431856573631,0.0107138589409795
1,-0.0153838432474541,0.00416222207725711,-0.0237571540274127,-0.00701053246749552
2,-0.0315642092068676,0.0080224464675216,-0.047703289784809,-0.0154251286289262
3,-0.0340585425342525,0.00578978013928152,-0.0457060778060331,-0.0224110072624719
4,-0.0364034031610216,0.00715965018700403,-0.0508067615063505,-0.0220000448156927
5,-0.0360550300672453,0.00642693419973853,-0.0489843539759347,-0.023125706158556
6,-0.0372247658309322,0.00808051774000873,-0.0534806707404198,-0.0209688609214445
7,-0.0370235511309057,0.00827072176046576,-0.0536620971742211,-0.0203850050875904
8,-0.0417556712271061,0.0082436659185194,-0.0583397879370448,-0.0251715545171673
