month,site,google_sessions_to_site,total_google_sessions,sessions_per_1000_google,all_sessions_to_site,total_sessions,sessions_per_1000_all,minutes_on_site,total_minutes,minutes_per_1000_all,google_trends_index
202211,chaturbate,652,1751611,0.372229,27956,17081404,1.636634,391724.1,55573726.02,7.048728,88
202212,pornhub,10651,2058008,5.175393,77521,20129834,3.85105,761030.88,63788505.43,11.930533,93
202212,xvideos,9274,2058008,4.506299,51960,20129834,2.581243,548279.15,63788505.43,8.595266,85
202212,xnxx,6981,2058008,3.392115,29921,20129834,1.486401,322954.53,63788505.43,5.062895,89
202212,xhamster,3383,2058008,1.643823,36366,20129834,1.806572,279259.77,63788505.43,4.377901,91
202212,chaturbate,789,2058008,0.38338,31960,20129834,1.587693,450819.47,63788505.43,7.067409,93
202301,pornhub,12280,2323150,5.285926,81638,21523068,3.793047,780893.15,70140416.13,11.133284,89
202301,xvideos,9626,2323150,4.143512,54796,21523068,2.54592,579946.35,70140416.13,8.268362,85
202301,xnxx,7342,2323150,3.160364,31825,21523068,1.478646,339688.8,70140416.13,4.842982,87
202301,xhamster,3906,2323150,1.681338,35675,21523068,1.657524,142945.23,70140416.13,2.037987,90
202301,chaturbate,940,2323150,0.404623,32016,21523068,1.48752,435665.7,70140416.13,6.211336,89
202302,pornhub,10343,2036573,5.07863,71766,19106861,3.756033,693163.2,60700068.12,11.41948,90
202302,xvideos,8163,2036573,4.008204,46582,19106861,2.437972,483445.08,60700068.12,7.96449,81
202302,xnxx,6147,2036573,3.018306,27383,19106861,1.43315,299557.4,60700068.12,4.935042,91
202302,xhamster,3168,2036573,1.555554,30017,19106861,1.571006,86229.83,60700068.12,1.420589,92
202302,chaturbate,751,2036573,0.368757,26948,19106861,1.410383,385882.27,60700068.12,6.357197,96
202303,pornhub,11189,2179605,5.133499,75445,19774832,3.815203,702056.08,61545392.98,11.407127,89
202303,xvideos,9036,2179605,4.145705,47119,19774832,2.382776,490843.82,61545392.98,7.975314,80
202303,xnxx,6145,2179605,2.819318,27571,19774832,1.394247,312999.98,61545392.98,5.085677,82
202303,xhamster,3120,2179605,1.431452,32009,19774832,1.618674,105634.0,61545392.98,1.716359,87
202303,chaturbate,833,2179605,0.382179,27468,19774832,1.389038,383268.97,61545392.98,6.227419,87
202304,pornhub,11227,2749057,4.083946,75175,19180736,3.919297,627464.17,56862580.27,11.034747,88
202304,xvideos,8515,2749057,3.097426,44297,19180736,2.309453,464562.5,56862580.27,8.169916,77
202304,xnxx,5454,2749057,1.983953,25359,19180736,1.322108,282347.77,56862580.27,4.965441,86
202304,xhamster,2479,2749057,0.901764,28391,19180736,1.480183,103136.03,56862580.27,1.813777,92
202304,chaturbate,742,2749057,0.269911,25374,19180736,1.32289,405449.4,56862580.27,7.130338,95
202305,pornhub,10571,2682299,3.941022,72191,17716110,4.074879,604168.18,51161436.33,11.809054,95
202305,xvideos,8231,2682299,3.068636,42591,17716110,2.404083,443489.23,51161436.33,8.668428,84
202305,xnxx,5289,2682299,1.971816,24641,17716110,1.390881,261307.95,51161436.33,5.107518,91
202305,xhamster,2064,2682299,0.769489,28413,17716110,1.603795,160373.03,51161436.33,3.134647,95
202305,chaturbate,772,2682299,0.287813,26139,17716110,1.475437,472214.32,51161436.33,9.229888,96
202306,pornhub,11378,1978945,5.749528,70642,16486414,4.284861,587848.73,51641156.78,11.383338,100
202306,xvideos,8700,1978945,4.396282,41100,16486414,2.492962,416126.32,51641156.78,8.058036,87
202306,xnxx,5347,1978945,2.701945,22824,16486414,1.384413,242249.82,51641156.78,4.691022,90
202306,xhamster,1766,1978945,0.892395,26178,16486414,1.587853,191955.23,51641156.78,3.717098,94
202306,chaturbate,827,1978945,0.417899,26116,16486414,1.584092,487447.35,51641156.78,9.439125,100
202307,pornhub,10591,2326468,4.552394,68709,16223757,4.235086,544046.12,50585505.27,10.75498,90
202307,xvideos,8545,2326468,3.67295,41487,16223757,2.557176,446820.57,50585505.27,8.832976,92
202307,xnxx,5198,2326468,2.234288,23401,16223757,1.442391,258131.2,50585505.27,5.102869,96
202307,xhamster,2393,2326468,1.028598,25632,16223757,1.579905,113223.65,50585505.27,2.238263,93
202307,chaturbate,791,2326468,0.34,26813,16223757,1.6527,457732.97,50585505.27,9.048698,97
202308,pornhub,10916,2036231,5.360885,65503,16660189,3.931708,564081.87,55319643.16,10.196773,85
202308,xvideos,8012,2036231,3.934721,38944,16660189,2.337549,324251.23,55319643.16,5.861412,86
202308,xnxx,5190,2036231,2.548827,22846,16660189,1.371293,188927.32,55319643.16,3.415194,88
202308,xhamster,2365,2036231,1.16146,23817,16660189,1.429576,93085.65,55319643.16,1.682687,85
202308,chaturbate,650,2036231,0.319217,25509,16660189,1.531135,486834.98,55319643.16,8.8004,99
202309,pornhub,9111,1898336,4.799466,59071,15178825,3.891671,524733.12,51436462.1,10.201579,83
202309,xvideos,6895,1898336,3.632128,35514,15178825,2.339707,196815.46,51436462.1,3.82638,82
202309,xnxx,4878,1898336,2.569619,21018,15178825,1.384692,113460.74,51436462.1,2.205843,85
202309,xhamster,2089,1898336,1.100437,23671,15178825,1.559475,102136.11,51436462.1,1.985675,83
202309,chaturbate,636,1898336,0.33503,24926,15178825,1.642156,447581.42,51436462.1,8.701637,97
202310,pornhub,8779,1911321,4.593158,56797,14649809,3.876979,504271.03,51126960.43,9.863114,84
202310,xvideos,6698,1911321,3.504383,35158,14649809,2.399895,196149.5,51126960.43,3.836518,84
202310,xnxx,4883,1911321,2.554778,20979,14649809,1.432032,111143.4,51126960.43,2.173871,86
202310,xhamster,2042,1911321,1.068371,22643,14649809,1.545617,106674.23,51126960.43,2.086458,85
202310,chaturbate,408,1911321,0.213465,31154,14649809,2.126581,419317.52,51126960.43,8.201495,95
202311,pornhub,8447,1954253,4.322368,54392,14246975,3.817793,471837.23,49620119.82,9.50899,84
202311,xvideos,5956,1954253,3.047712,32783,14246975,2.30105,184645.57,49620119.82,3.721183,81
202311,xnxx,4439,1954253,2.271456,19176,14246975,1.34597,97463.42,49620119.82,1.964191,85
202311,xhamster,1825,1954253,0.933861,22561,14246975,1.583564,112712.85,49620119.82,2.271515,86
202311,chaturbate,431,1954253,0.220545,35520,14246975,2.493161,434371.73,49620119.82,8.753944,95
202312,pornhub,8984,2048051,4.38661,57212,14612717,3.91522,501686.83,58115175.73,8.63263,88
202312,xvideos,5991,2048051,2.92522,32730,14612717,2.23983,176032.85,58115175.73,3.029034,81
202312,xnxx,4679,2048051,2.284611,20662,14612717,1.413974,111622.5,58115175.73,1.920712,84
202312,xhamster,1793,2048051,0.875466,22598,14612717,1.546461,115203.48,58115175.73,1.98233,88
202312,chaturbate,422,2048051,0.20605,40877,14612717,2.797358,365970.57,58115175.73,6.297332,87
202401,pornhub,8474,1932580,4.384812,52886,14353380,3.684568,483816.25,52165046.82,9.274721,84
202401,xvideos,5743,1932580,2.971675,31700,14353380,2.208539,167109.6,52165046.82,3.203478,80
202401,xnxx,4579,1932580,2.369372,20285,14353380,1.413256,103834.12,52165046.82,1.990492,86
202401,xhamster,1797,1932580,0.929845,22615,14353380,1.575587,123530.27,52165046.82,2.368066,89
202401,chaturbate,411,1932580,0.212669,40438,14353380,2.817316,315612.83,52165046.82,6.050274,86
202402,pornhub,5655,1310510,4.315114,36444,9997713,3.645234,317730.38,35937494.78,8.841195,85
202402,xvideos,4125,1310510,3.14763,21730,9997713,2.173497,86725.83,35937494.78,2.413241,81
202402,xnxx,2973,1310510,2.268582,13473,9997713,1.347608,47506.75,35937494.78,1.321927,87
202402,xhamster,1233,1310510,0.940855,15058,9997713,1.506144,73566.5,35937494.78,2.047068,90
202402,chaturbate,303,1310510,0.231208,29177,9997713,2.918367,193158.95,35937494.78,5.374859,80
202403,pornhub,5677,1236819,4.590001,35046,9825361,3.566892,313108.52,35439197.58,8.83509,81
202403,xvideos,4681,1236819,3.784709,22344,9825361,2.274115,72317.85,35439197.58,2.040618,84
202403,xnxx,2451,1236819,1.981697,12723,9825361,1.294914,36255.53,35439197.58,1.023035,84
