site,beta,intercept,r_squared,p_value,std_err,n
pornhub,0.003271,4.151962,0.002,0.797034,0.012618,36
xvideos,0.062178,-1.399443,0.3426,0.000177,0.01477,36
xnxx,0.027339,0.041088,0.0416,0.232872,0.022508,36
xhamster,-0.001807,1.236256,0.0005,0.895823,0.013697,36
chaturbate,0.005448,-0.165631,0.4133,2.4e-05,0.001113,36
