site,beta,intercept,r_squared,p_value,std_err,n
pornhub,0.016134,2.289852,0.2391,0.002478,0.004936,36
xvideos,0.016351,1.019633,0.2518,0.001819,0.004833,36
xnxx,0.010027,0.452867,0.0625,0.141458,0.006661,36
xhamster,0.006727,0.986489,0.0162,0.459301,0.008987,36
chaturbate,-0.03412,5.595236,0.1136,0.044407,0.016345,36
