site,beta,intercept,r_squared,p_value,std_err,n
pornhub,0.033066,0.057495,0.0801,0.0995,0.019508,35
xvideos,0.012453,0.000735,0.0153,0.478295,0.017363,35
xnxx,-0.012288,-0.029768,0.0477,0.207564,0.009559,35
xhamster,-0.006968,-0.009582,0.0466,0.21291,0.005486,35
chaturbate,0.000356,-0.002477,0.0009,0.864122,0.002064,35
