period,pages_group,n_sessions,mean_dur,p10,p25,p50,p75,p90,p95,p99
pre,pages_eq_1,57410,50.97793067409859,1.0,3.0,23.0,72.0,120.0,120.0,600.0
pre,pages_gt_1,833438,519.4490160035899,30.0,107.0,266.0,615.0,1226.0,1857.0,3876.0
post,pages_eq_1,10533,32.11838982246274,0.0,2.0,12.0,47.0,109.0,120.0,120.0
post,pages_gt_1,58607,457.0333748528333,14.0,60.0,203.0,542.0,1123.0,1750.0,3719.0
